name,score1,score2,moves1,moves2,time1,time2
Max - Avg | VERTICAL - HORIZONTAL,971,967,172,171,0,1
Max - Gain | HORIZONTAL - VERTICAL,976,975,195,194,0,1
Max - Gain | VERTICAL - HORIZONTAL,993,978,200,199,0,2
Gain - Max | HORIZONTAL - VERTICAL,980,991,200,199,0,0
Gain - Max | VERTICAL - HORIZONTAL,958,945,187,186,1,1
Avg - Gain | HORIZONTAL - VERTICAL,930,891,182,181,0,1
Avg - Gain | VERTICAL - HORIZONTAL,994,950,196,195,0,1
Gain - Avg | HORIZONTAL - VERTICAL,864,890,168,167,0,0
Gain - Avg | VERTICAL - HORIZONTAL,966,1005,200,199,1,1
Avg - Max | HORIZONTAL - VERTICAL,992,979,200,199,1,0
Avg - Max | VERTICAL - HORIZONTAL,990,965,196,195,0,1
Max - Avg | HORIZONTAL - VERTICAL,968,971,192,191,1,0
Max - Avg | VERTICAL - HORIZONTAL,982,989,200,199,0,0
Max - Gain | HORIZONTAL - VERTICAL,994,981,200,199,0,2
Max - Gain | VERTICAL - HORIZONTAL,993,966,195,194,0,0
Gain - Max | HORIZONTAL - VERTICAL,988,987,200,199,2,0
Gain - Max | VERTICAL - HORIZONTAL,956,984,194,193,0,0
Avg - Gain | HORIZONTAL - VERTICAL,895,877,169,168,0,1
Avg - Gain | VERTICAL - HORIZONTAL,999,959,196,195,0,1
Gain - Avg | HORIZONTAL - VERTICAL,776,773,143,142,2,0
Gain - Avg | VERTICAL - HORIZONTAL,972,1003,200,199,2,0
Avg - Max | HORIZONTAL - VERTICAL,974,958,187,186,0,0
Avg - Max | VERTICAL - HORIZONTAL,953,933,174,173,0,1
Max - Avg | HORIZONTAL - VERTICAL,973,981,194,193,0,0
Max - Avg | VERTICAL - HORIZONTAL,977,987,196,195,0,1
Max - Gain | HORIZONTAL - VERTICAL,973,945,187,186,0,2
Max - Gain | VERTICAL - HORIZONTAL,981,969,190,189,0,0
Gain - Max | HORIZONTAL - VERTICAL,988,1003,200,199,1,0
Gain - Max | VERTICAL - HORIZONTAL,860,856,155,154,1,1
Avg - Gain | HORIZONTAL - VERTICAL,1032,959,200,199,2,0
Avg - Gain | VERTICAL - HORIZONTAL,965,940,186,185,0,3
Gain - Avg | HORIZONTAL - VERTICAL,980,1011,200,199,2,0
Gain - Avg | VERTICAL - HORIZONTAL,778,781,140,139,0,1
Avg - Max | HORIZONTAL - VERTICAL,967,937,176,175,0,0
Avg - Max | VERTICAL - HORIZONTAL,999,992,200,199,0,0
Max - Avg | HORIZONTAL - VERTICAL,956,960,179,178,0,0
Max - Avg | VERTICAL - HORIZONTAL,976,994,193,192,0,1
Max - Gain | HORIZONTAL - VERTICAL,1033,1017,200,199,0,0
Max - Gain | VERTICAL - HORIZONTAL,1035,1015,200,199,0,1
Gain - Max | HORIZONTAL - VERTICAL,978,973,180,179,3,0
Gain - Max | VERTICAL - HORIZONTAL,1024,1026,200,199,1,0
Avg - Gain | HORIZONTAL - VERTICAL,993,961,188,187,1,0
Avg - Gain | VERTICAL - HORIZONTAL,1043,991,198,197,0,2
Gain - Avg | HORIZONTAL - VERTICAL,993,1057,200,199,3,0
Gain - Avg | VERTICAL - HORIZONTAL,983,1031,196,195,1,1
Avg - Max | HORIZONTAL - VERTICAL,1015,1000,190,189,1,0
Avg - Max | VERTICAL - HORIZONTAL,1032,1009,198,197,0,0
Max - Avg | HORIZONTAL - VERTICAL,1015,1026,198,197,0,0
Max - Avg | VERTICAL - HORIZONTAL,1014,1029,198,197,0,1
Max - Gain | HORIZONTAL - VERTICAL,956,921,198,197,1,1
Max - Gain | VERTICAL - HORIZONTAL,955,931,200,199,0,1
Gain - Max | HORIZONTAL - VERTICAL,817,815,160,159,2,0
Gain - Max | VERTICAL - HORIZONTAL,885,878,179,178,2,0
Avg - Gain | HORIZONTAL - VERTICAL,913,879,186,185,1,0
Avg - Gain | VERTICAL - HORIZONTAL,932,885,186,185,0,3
Gain - Avg | HORIZONTAL - VERTICAL,750,759,143,142,1,1
Gain - Avg | VERTICAL - HORIZONTAL,766,774,148,147,1,1
Avg - Max | HORIZONTAL - VERTICAL,932,928,191,190,0,0
Avg - Max | VERTICAL - HORIZONTAL,950,936,200,199,0,2
Max - Avg | HORIZONTAL - VERTICAL,936,950,200,199,1,1
Max - Avg | VERTICAL - HORIZONTAL,938,948,200,199,1,0
Max - Gain | HORIZONTAL - VERTICAL,981,966,198,197,0,2
Max - Gain | VERTICAL - HORIZONTAL,969,960,194,193,1,1
Gain - Max | HORIZONTAL - VERTICAL,928,919,183,182,0,0
Gain - Max | VERTICAL - HORIZONTAL,413,397,61,60,1,0
Avg - Gain | HORIZONTAL - VERTICAL,946,911,183,182,0,2
Avg - Gain | VERTICAL - HORIZONTAL,904,891,172,171,0,2
Gain - Avg | HORIZONTAL - VERTICAL,718,727,126,125,2,0
Gain - Avg | VERTICAL - HORIZONTAL,805,820,151,150,0,0
Avg - Max | HORIZONTAL - VERTICAL,904,898,165,164,2,0
Avg - Max | VERTICAL - HORIZONTAL,944,926,178,177,1,0
Max - Avg | HORIZONTAL - VERTICAL,974,969,196,195,0,0
Max - Avg | VERTICAL - HORIZONTAL,927,935,176,175,0,0
Max - Gain | HORIZONTAL - VERTICAL,985,975,198,197,0,0
Max - Gain | VERTICAL - HORIZONTAL,967,964,191,190,0,0
Gain - Max | HORIZONTAL - VERTICAL,728,719,123,122,0,0
Gain - Max | VERTICAL - HORIZONTAL,824,820,148,147,1,1
Avg - Gain | HORIZONTAL - VERTICAL,978,936,192,191,1,0
Avg - Gain | VERTICAL - HORIZONTAL,971,938,192,191,0,2
Gain - Avg | HORIZONTAL - VERTICAL,832,850,162,161,2,0
Gain - Avg | VERTICAL - HORIZONTAL,951,969,192,191,0,0
Avg - Max | HORIZONTAL - VERTICAL,996,968,200,199,0,1
Avg - Max | VERTICAL - HORIZONTAL,990,974,200,199,0,2
Max - Avg | HORIZONTAL - VERTICAL,965,973,191,190,2,0
Max - Avg | VERTICAL - HORIZONTAL,968,978,194,193,0,1
Max - Gain | HORIZONTAL - VERTICAL,991,984,200,199,0,2
Max - Gain | VERTICAL - HORIZONTAL,989,976,197,196,0,1
Gain - Max | HORIZONTAL - VERTICAL,969,970,191,190,2,0
Gain - Max | VERTICAL - HORIZONTAL,849,842,150,149,1,0
Avg - Gain | HORIZONTAL - VERTICAL,988,947,193,192,2,1
Avg - Gain | VERTICAL - HORIZONTAL,963,923,189,188,0,3
Gain - Avg | HORIZONTAL - VERTICAL,732,739,130,129,1,0
Gain - Avg | VERTICAL - HORIZONTAL,840,872,163,162,0,1
Avg - Max | HORIZONTAL - VERTICAL,977,959,188,187,1,0
Avg - Max | VERTICAL - HORIZONTAL,965,950,183,182,1,0
Max - Avg | HORIZONTAL - VERTICAL,969,972,191,190,1,0
Max - Avg | VERTICAL - HORIZONTAL,967,980,190,189,0,1
Max - Gain | HORIZONTAL - VERTICAL,978,966,192,191,0,1
Max - Gain | VERTICAL - HORIZONTAL,1001,973,200,199,1,2
Gain - Max | HORIZONTAL - VERTICAL,962,964,191,190,2,0
Gain - Max | VERTICAL - HORIZONTAL,714,698,117,116,0,1
Avg - Gain | HORIZONTAL - VERTICAL,974,910,187,186,1,2
Avg - Gain | VERTICAL - HORIZONTAL,962,930,187,186,1,0
Gain - Avg | HORIZONTAL - VERTICAL,964,984,198,197,2,0
Gain - Avg | VERTICAL - HORIZONTAL,964,1000,198,197,0,0
Avg - Max | HORIZONTAL - VERTICAL,937,916,169,168,0,0
Avg - Max | VERTICAL - HORIZONTAL,886,863,149,148,0,0
